,Tipo,Empresa,Setor,Subsetor,Cotacao,Data_ult_cot,Min_52_sem,Max_52_sem,Vol_med_2m,Valor_de_mercado,Valor_da_firma,Ult_balanco_processado,Nro_Acoes,PL,PVP,PEBIT,PSR,PAtivos,PCap_Giro,PAtiv_Circ_Liq,Div_Yield,EV_EBITDA,EV_EBIT,Cres_Rec_5a,LPA,VPA,Marg_Bruta,Marg_EBIT,Marg_Liquida,EBIT_Ativo,ROIC,ROE,Liquidez_Corr,Div_Br_Patrim,Giro_Ativos,Ativo,Cart_de_Credito,Depositos,Patrim_Liq,Result_Int_Financ_12m,Rec_Servicos_12m,Lucro_Liquido_12m,Result_Int_Financ_3m,Rec_Servicos_3m,Lucro_Liquido_3m,Disponibilidades,Ativo_Circulante,Div_Bruta,Div_Liquida,Receita_Liquida_12m,EBIT_12m,Receita_Liquida_3m,EBIT_3m
CTSA3,ON,SANTANENSE ON,"Tecidos, Vestuário e Calçados",Fios e Tecidos,2.30,2023-02-10,2.27,10.79,7288,63997500,192186000,2022-09-30,27825000,-186,023,-781,013,010,-178,-043,9.4%,6913,-2345,5.3%,-124,1005,10.1%,-1.7%,-7.1%,-1.3%,-1.6%,-12.3%,084,059,078,618750000,,,279573000,,,-34492000,,,-9615000,36923000,191447000,165112000,128189000,484656000,-8196000,111537000,-6682000
CTSA4,PN,SANTANENSE PN,"Tecidos, Vestuário e Calçados",Fios e Tecidos,1.55,2023-02-10,1.54,5.12,30479,43128800,171318000,2022-09-30,27825000,-125,015,-526,009,007,-120,-029,15.4%,6163,-2090,5.3%,-124,1005,10.1%,-1.7%,-7.1%,-1.3%,-1.6%,-12.3%,084,059,078,618750000,,,279573000,,,-34492000,,,-9615000,36923000,191447000,165112000,128189000,484656000,-8196000,111537000,-6682000
CTSA8,PND,SANTANENSE PND,"Tecidos, Vestuário e Calçados",Fios e Tecidos,1.00,2003-12-22,0.00,0.00,0,27825000,156014000,2022-09-30,27825000,-081,010,-339,006,004,-078,-019,0.0%,5612,-1904,5.3%,-124,1005,10.1%,-1.7%,-7.1%,-1.3%,-1.6%,-12.3%,084,059,078,618750000,,,279573000,,,-34492000,,,-9615000,36923000,191447000,165112000,128189000,484656000,-8196000,111537000,-6682000
CURY3,ON NM,CURY S/A ON NM,Construção Civil,Incorporações,12.76,2023-02-10,5.74,13.48,18413800,3724330000,3545440000,2022-09-30,291875000,1089,504,803,172,134,357,3070,5.7%,784,764,36.2%,117,253,37.0%,21.4%,16.1%,16.7%,22.7%,46.3%,205,062,078,2784850000,,,738300000,,,341852000,,,89872000,634908000,2033840000,456021000,-178887000,2168040000,463945000,626659000,124950000
CVCB3,ON NM,CVC BRASIL ON NM,Viagens e Lazer,Viagens e Turismo,3.79,2023-02-10,3.66,17.28,91647700,1050770000,1338660000,2022-09-30,277247000,-217,253,-877,087,023,-112,-068,0.0%,1477,-1117,-13.2%,-175,150,100.0%,-9.9%,-39.7%,-2.7%,-3.7%,-116.3%,073,222,027,4497630000,,,416109000,,,-483902000,,,-75049000,636626000,2534030000,924517000,287891000,1214240000,-119845000,337616000,16979000
CXSE3,ON NM,CAIXA SEGURI ON NM,Previdência e Seguros,Seguradoras,8.38,2023-02-10,6.38,8.92,16382400,25140000000,23867500000,2022-09-30,3000000000,986,214,-27689,-,211,1963,1965,7.7%,-26290,-26287,-,085,392,-,-,0.0%,-0.8%,-0.9%,21.7%,923,-,-,11910000000,,,11753200000,,,2549800000,,,766250000,1272550000,1436080000,0,-1272550000,0,-90795000,0,-24123000
CYRE3,PN,CYRELA BRAZIL REALTY PN,Construção Civil,Incorporações,15.15,2023-02-10,11.67,20.03,114116000,6056110000,7794430000,2022-09-30,399743000,740,090,850,113,039,122,-2470,3.7%,983,1094,16.7%,205,1684,32.5%,13.3%,15.9%,4.5%,5.6%,12.2%,259,065,034,15685500000,,,6732790000,,,818730000,,,288629000,2629050000,8073980000,4367380000,1738320000,5358120000,712758000,1559640000,224757000
DASA3,ON,DIAGNOSTICOS DA AMERICA SA ON,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos,9.45,2023-02-10,9.45,26.08,4165810,5297460000,13123900000,2022-09-30,560578000,-1560,072,757,042,021,466,-048,1.0%,723,1875,37.7%,-061,1312,29.0%,5.6%,-2.7%,2.8%,3.2%,-4.6%,120,136,050,25122600000,,,7352800000,,,-339503000,,,-89363000,2195900000,6704350000,10022400000,7826450000,12523100000,699836000,3425340000,303032000
DESK3,ON NM,DESKTOPSIGMA ON NM,Telecomunicações,Telecomunicações,8.90,2023-02-10,6.20,17.74,1575380,776680000,1353230000,2022-09-30,87267400,1675,084,489,122,032,948,-074,498.4%,521,853,-,053,1055,57.3%,24.9%,8.5%,6.6%,7.7%,5.0%,123,095,026,2417790000,,,920907000,,,46364000,,,23335000,302186000,432763000,878731000,576545000,636351000,158675000,187453000,62263000
DEXP3,ON,DEXXOS PAR ON,Químicos,Petroquímicos,7.89,2023-02-10,5.95,9.90,914288,741770000,895825000,2022-09-30,94014000,556,134,370,034,057,133,353,4.9%,397,446,34.5%,142,591,17.7%,9.2%,7.4%,15.5%,18.7%,24.0%,299,057,168,1295430000,,,555602000,,,133521000,,,28544000,163807000,839080000,317862000,154055000,2178340000,200651000,450119000,26754000
DEXP4,PN,DEXXOS PAR PN,Químicos,Petroquímicos,7.03,2023-02-10,5.70,9.00,38956,660918000,814973000,2022-09-30,94014000,495,119,329,030,051,118,314,5.8%,361,406,34.5%,142,591,17.7%,9.2%,7.4%,15.5%,18.7%,24.0%,299,057,168,1295430000,,,555602000,,,133521000,,,28544000,163807000,839080000,317862000,154055000,2178340000,200651000,450119000,26754000
DIRR3,ON NM,Direcional Engenharia ON NM,Construção Civil,Incorporações,15.95,2023-02-10,8.42,17.07,32496400,2392500000,2720840000,2022-09-30,150000000,1356,176,600,113,039,098,-171,7.3%,600,682,19.3%,118,905,35.4%,18.9%,11.6%,6.4%,8.1%,13.0%,392,111,034,6209520000,,,1358120000,,,176492000,,,63264000,1179820000,3285440000,1508160000,328337000,2115600000,398959000,574411000,106024000
DMFN3,ON,DMFINANCEIRA ON,Intermediários Financeiros,Soc. Crédito e Financiamento,14.61,2023-02-10,11.60,16.00,3191,13353500,-,2022-09-30,914000,363,096,-,-,-,-,-,0.0%,-,-,-17.6%,402,1525,-,-,0.0%,0.0%,-,26.4%,-,-,-,15539000,0,0,13938000,2817000,0,3677000,794000,0,4740000,,,,,,,,
DMMO3,ON,DOMMO ON,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",1.76,2023-01-06,0.81,1.94,3396910,949254000,878818000,2022-09-30,539349000,-25865,-172,637,285,335,1190,-137,0.0%,542,590,-17.4%,-001,-103,54.5%,44.8%,-1.1%,52.5%,70.4%,0.7%,225,-,117,283719000,,,-553275000,,,-3670000,,,-56096000,70436000,143338000,0,-70436000,332554000,149011000,92638000,6828000
DMVF3,ON NM,D1000VFARMA ON NM,Comércio e Distribuição,Medicamentos e Outros Produtos,3.84,2023-02-10,3.60,5.70,147003,194316000,170326000,2022-09-30,50603000,832,023,159,014,013,291,-096,0.0%,077,140,29.2%,046,1673,32.2%,8.7%,1.7%,8.4%,10.2%,2.8%,120,003,097,1446260000,,,846554000,,,23347000,,,3337000,53619000,398164000,29629000,-23990000,1401540000,122069000,400092000,37269000
DOHL3,ON,DOHLER ON,"Tecidos, Vestuário e Calçados",Fios e Tecidos,10.00,2022-11-04,10.00,18.88,0,756450000,806156000,2022-09-30,75645000,3505,107,7407,118,078,182,293,1.2%,2925,7893,9.6%,029,937,22.4%,1.6%,3.4%,1.1%,1.1%,3.0%,508,013,066,967314000,,,708641000,,,21584000,,,145000,43521000,516962000,93227000,49706000,640614000,10213000,176697000,-2305000
DOHL4,PN,DOHLER PN,"Tecidos, Vestuário e Calçados",Fios e Tecidos,4.17,2023-02-10,4.16,6.08,7324,315440000,365146000,2022-09-30,75645000,1461,045,3089,049,033,076,122,3.2%,1325,3575,9.6%,029,937,22.4%,1.6%,3.4%,1.1%,1.1%,3.0%,508,013,066,967314000,,,708641000,,,21584000,,,145000,43521000,516962000,93227000,49706000,640614000,10213000,176697000,-2305000
DOTZ3,ON NM,DOTZ SA ON NM,Diversos,Programas de Fidelização,0.88,2023-02-10,0.88,4.24,87056,116220000,-6217840,2022-09-30,132068000,-131,-086,-301,086,028,-186,-042,0.0%,034,016,3.2%,-067,-102,89.8%,-28.5%,-65.7%,-9.2%,-25.9%,65.9%,082,-081,032,421808000,,,-135130000,,,-89021000,,,-19812000,232105000,279257000,109667000,-122438000,135493000,-38665000,39265000,-21221000
DTCY3,ON,DTCOM ON,Serviços Diversos,Serviços Diversos,5.00,2023-02-08,4.76,8.00,731,55655000,56575000,2022-09-30,11131000,-1430,-2381,-2064,710,521,-1188,-576,0.0%,3622,-2098,-17.3%,-035,-021,13.1%,-34.4%,-49.6%,-25.3%,-26.6%,166.5%,042,-058,073,10675000,,,-2337000,,,-3892000,,,-51000,442000,3350000,1362000,920000,7841000,-2697000,2842000,-544000
